,Date-time,Class_in,Class_out
0,2023-12-24 00:01:16.032839,truck,
1,2023-12-24 00:01:16.032839,,bus
2,2023-12-24 00:01:17.007716,,truck
3,2023-12-24 00:01:17.679084,truck,
4,2023-12-24 00:01:18.608875,,truck
5,2023-12-24 00:01:18.737962,,truck
6,2023-12-24 00:01:19.487243,,truck
7,2023-12-24 00:01:19.899160,car,
8,2023-12-24 00:01:20.098418,,truck
9,2023-12-24 00:01:20.300443,car,
10,2023-12-24 00:01:22.056177,,truck
11,2023-12-24 00:01:22.274430,,truck
12,2023-12-24 00:01:22.718101,,bus
13,2023-12-24 00:01:23.572946,,truck
14,2023-12-24 00:01:24.532794,,bike
15,2023-12-24 00:01:24.644087,car,
16,2023-12-24 00:01:24.874503,car,
17,2023-12-24 00:01:25.090536,car,
18,2023-12-24 00:01:25.520879,car,
19,2023-12-24 00:01:25.959349,,car
20,2023-12-24 00:01:26.312084,,car
21,2023-12-24 00:01:26.569358,,car
22,2023-12-24 00:01:27.299743,,bike
23,2023-12-24 00:01:28.760175,,car
24,2023-12-24 00:01:29.411404,,car
25,2023-12-24 00:01:30.563072,,car
26,2023-12-24 00:01:32.815789,,bike
27,2023-12-24 00:01:32.815789,,car
28,2023-12-24 00:01:43.286967,,car
29,2023-12-24 00:01:43.286967,,car
30,2023-12-24 00:01:45.294607,,bike
31,2023-12-24 00:01:45.717130,car,
32,2023-12-24 00:01:45.809540,,bike
33,2023-12-24 00:01:46.796152,,car
34,2023-12-24 00:01:46.796152,,car
35,2023-12-24 00:01:47.500986,,car
36,2023-12-24 00:01:48.018266,,car
37,2023-12-24 00:01:49.057653,,car
38,2023-12-24 00:01:49.281210,,car
39,2023-12-24 00:01:49.281210,,car
40,2023-12-24 00:01:50.005524,,car
41,2023-12-24 00:01:50.328823,,car
42,2023-12-24 00:01:50.568733,,car
43,2023-12-24 00:01:51.089151,,bike
44,2023-12-24 00:01:51.089151,,car
45,2023-12-24 00:01:51.395861,,bike
46,2023-12-24 00:01:51.612127,,car
47,2023-12-24 00:01:51.713699,,car
48,2023-12-24 00:01:51.929857,,bike
49,2023-12-24 00:01:52.026835,,car
50,2023-12-24 00:01:52.026835,,car
51,2023-12-24 00:01:53.992774,,car
52,2023-12-24 00:01:54.626117,,car
53,2023-12-24 00:01:54.626117,,car
54,2023-12-24 00:01:55.255143,,car
55,2023-12-24 00:01:55.672596,,car
56,2023-12-24 00:01:55.794172,,car
57,2023-12-24 00:01:58.850876,,car
58,2023-12-24 00:01:59.897562,car,
59,2023-12-24 00:01:59.989574,,bike
60,2023-12-24 00:02:01.036008,,car
61,2023-12-24 00:02:01.400545,,bike
62,2023-12-24 00:02:01.605197,car,
63,2023-12-24 00:02:01.716044,,bike
64,2023-12-24 00:02:02.179769,,bike
65,2023-12-24 00:02:02.737555,,bike
66,2023-12-24 00:02:02.737555,car,
67,2023-12-24 00:02:03.362744,,bike
68,2023-12-24 00:02:05.936613,,car
69,2023-12-24 00:02:06.133405,,car
70,2023-12-24 00:02:06.443158,,car
71,2023-12-24 00:02:14.189170,,car
72,2023-12-24 00:02:15.684007,bike,
73,2023-12-24 00:02:17.303456,bike,
74,2023-12-24 00:02:18.017250,,car
75,2023-12-24 00:02:19.050337,,car
76,2023-12-24 00:02:19.560106,,bike
77,2023-12-24 00:02:20.082263,,car
78,2023-12-24 00:02:20.577123,,bike
79,2023-12-24 00:02:21.593276,,bike
80,2023-12-24 00:02:22.129116,,car
81,2023-12-24 00:02:24.070415,,car
82,2023-12-24 00:02:26.395826,,bike
83,2023-12-24 00:02:27.168742,car,
84,2023-12-24 00:02:27.374919,,car
85,2023-12-24 00:02:27.690248,car,
86,2023-12-24 00:02:29.557521,,bike
87,2023-12-24 00:02:29.993363,,bike
88,2023-12-24 00:02:30.533505,,bike
89,2023-12-24 00:02:34.094057,car,
90,2023-12-24 00:02:37.787948,,truck
91,2023-12-24 00:02:38.000345,,truck
92,2023-12-24 00:02:41.268572,bike,
93,2023-12-24 00:02:41.360840,car,
94,2023-12-24 00:02:41.565106,car,
95,2023-12-24 00:02:42.075718,car,
96,2023-12-24 00:02:42.989357,,car
97,2023-12-24 00:02:43.647789,,car
98,2023-12-24 00:02:43.867422,bike,
99,2023-12-24 00:02:45.834239,,car
100,2023-12-24 00:02:46.684475,,bike
101,2023-12-24 00:02:46.894428,,bike
102,2023-12-24 00:02:47.102496,,car
103,2023-12-24 00:02:47.517183,,car
104,2023-12-24 00:02:48.358243,,car
