                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2842,                 3.3245,                 1.1017,                0.02217,                0.53481,                0.11074,                0.07529,                 1.0063,                 3.2026,                0.93916,              0.0002375,              0.0002375,              0.0002375
                      2,                 1.0981,                 1.9882,                0.97976,                0.03842,                0.78449,                0.34023,                0.26098,                0.90306,                 2.8619,                0.90285,             0.00048267,             0.00048267,             0.00048267
                      3,                 1.0888,                 1.5272,                0.96843,                0.58509,                0.28061,                0.43075,                0.31898,                0.90453,                 2.0466,                0.87945,              0.0007229,              0.0007229,              0.0007229
                      4,                 1.0286,                 1.4123,                0.96664,                0.50716,                0.63493,                0.59418,                0.44299,                0.88202,                 1.5149,                0.89562,             0.00095817,             0.00095817,             0.00095817
                      5,                 1.0232,                 1.3489,                0.96289,                0.47691,                0.65358,                0.62042,                0.42275,                0.97698,                 1.7116,                0.91229,              0.0011885,              0.0011885,              0.0011885
                      6,                0.99152,                 1.2639,                0.96098,                0.38635,                0.60038,                0.47918,                0.36197,                0.89839,                 1.9737,                0.89857,              0.0011881,              0.0011881,              0.0011881
                      7,                0.94554,                 1.2398,                0.94995,                0.46945,                0.62501,                0.56347,                0.41792,                0.87389,                 1.5633,                0.88989,              0.0011881,              0.0011881,              0.0011881
                      8,                0.96326,                 1.2066,                0.95433,                0.51161,                0.67487,                0.55627,                 0.3983,                0.87912,                 1.5093,                0.88602,              0.0011757,              0.0011757,              0.0011757
                      9,                0.96513,                 1.1914,                0.95273,                 0.6568,                0.70884,                0.66989,                0.47877,                0.89543,                 1.2251,                0.90269,              0.0011634,              0.0011634,              0.0011634
                     10,                0.93558,                 1.1036,                0.94013,                0.61396,                0.76557,                0.73102,                0.52543,                0.86767,                 1.2287,                0.90566,               0.001151,               0.001151,               0.001151
                     11,                0.90653,                 1.0827,                0.93382,                0.78384,                0.72486,                0.77614,                 0.5914,                0.82991,                  1.118,                0.88809,              0.0011386,              0.0011386,              0.0011386
                     12,                0.86252,                 1.0241,                0.92408,                0.64804,                0.72967,                0.64364,                0.45574,                0.84484,                  1.188,                 0.9052,              0.0011263,              0.0011263,              0.0011263
                     13,                0.89834,                  1.038,                0.93027,                0.61602,                0.76069,                0.69112,                0.50608,                 0.8174,                 1.1803,                0.89312,              0.0011139,              0.0011139,              0.0011139
                     14,                0.85872,                0.97776,                0.91954,                0.71945,                0.71841,                0.74365,                0.55742,                 0.8166,                 1.0427,                0.88292,              0.0011015,              0.0011015,              0.0011015
