                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.5963,                0.48264,                0.84468,                 0.8454,                0.78065,                0.82303,                0.66312,                0.74165,                 1.0014,                0.88865,              0.0002375,              0.0002375,              0.0002375
                      2,                0.61387,                0.49449,                0.85434,                0.84049,                0.71961,                 0.8007,                0.63519,                0.81005,                 1.3567,                0.92372,             0.00048267,             0.00048267,             0.00048267
                      3,                0.65551,                0.53227,                0.85819,                0.80273,                0.78504,                0.81521,                0.64493,                0.80367,                 1.0184,                0.92382,              0.0007229,              0.0007229,              0.0007229
                      4,                0.65701,                0.55477,                0.86682,                0.79117,                0.73076,                0.78937,                 0.6089,                0.77765,                  1.163,                0.90345,             0.00095817,             0.00095817,             0.00095817
                      5,                0.68316,                0.57365,                0.86601,                 0.7895,                0.76198,                0.79128,                0.61493,                 0.7835,                 1.0914,                0.91962,              0.0011885,              0.0011885,              0.0011885
                      6,                0.68381,                0.57188,                0.86862,                0.75972,                0.84501,                 0.8305,                0.63796,                 0.8015,                 1.0443,                0.90991,              0.0011881,              0.0011881,              0.0011881
                      7,                0.69034,                0.60915,                 0.8762,                0.68717,                0.78748,                0.76216,                0.58086,                0.84538,                 1.1718,                0.92409,              0.0011881,              0.0011881,              0.0011881
                      8,                0.70937,                0.62304,                0.87808,                0.81078,                0.74046,                0.77369,                0.60315,                0.80301,                 1.0472,                0.91054,              0.0011757,              0.0011757,              0.0011757
                      9,                0.70712,                0.61207,                 0.8855,                0.81607,                0.80513,                0.81976,                0.64765,                0.80052,                 1.0349,                0.91036,              0.0011634,              0.0011634,              0.0011634
                     10,                0.70388,                0.60319,                 0.8742,                0.82066,                0.75697,                0.82795,                 0.6525,                 0.8098,                 1.0307,                0.92888,               0.001151,               0.001151,               0.001151
                     11,                 0.6928,                0.59357,                0.87186,                0.81872,                 0.7828,                0.83104,                0.64885,                0.81047,                0.99163,                0.93198,              0.0011386,              0.0011386,              0.0011386
                     12,                0.66665,                0.55211,                0.86981,                0.80995,                0.81899,                0.81969,                0.63783,                0.74171,                0.96833,                0.89752,              0.0011263,              0.0011263,              0.0011263
                     13,                0.68067,                0.56651,                0.87189,                 0.7239,                0.78313,                0.77617,                0.60527,                0.79237,                 1.1986,                0.91193,              0.0011139,              0.0011139,              0.0011139
                     14,                0.67469,                0.55855,                0.86905,                0.81647,                 0.7739,                0.81959,                0.64466,                0.78774,                 1.0195,                0.92039,              0.0011015,              0.0011015,              0.0011015
                     15,                0.68889,                0.57002,                0.87491,                0.81353,                0.76039,                0.81352,                0.64556,                0.79123,                 1.1654,                0.91643,              0.0010891,              0.0010891,              0.0010891
